日付,イベント名,出店場所,天候,気温,メニュー名,販売価格,販売数,売上額
2025/05/25,太鼓サミット,あけぼの山農業公園 (ふるさと広場),寒かった,,アイスコーヒー,300,19,5700
2025/05/25,太鼓サミット,あけぼの山農業公園 (ふるさと広場),寒かった,,レモネード,300,9,2700
2025/05/25,太鼓サミット,あけぼの山農業公園 (ふるさと広場),寒かった,,スパークリングレモネード,400,12,4800
2025/06/22,青空フリーマーケット,あけぼの山農業公園 (ふるさと広場),晴れ,35℃,アイスコーヒー,300,19,5700
2025/06/22,青空フリーマーケット,あけぼの山農業公園 (ふるさと広場),晴れ,35℃,レモネード,300,9,2700
2025/06/22,青空フリーマーケット,あけぼの山農業公園 (ふるさと広場),晴れ,35℃,スパークリングレモネード,400,12,4800
2025/06/28,North Square Market,流山おおたかの森駅北口都市広場,晴れ,30℃,アイスコーヒー,300,23,6900
2025/06/28,North Square Market,流山おおたかの森駅北口都市広場,晴れ,30℃,レモネード,300,6,1800
2025/06/28,North Square Market,流山おおたかの森駅北口都市広場,晴れ,30℃,スパークリングレモネード,400,26,10400
2025/07/12,屋台村,千葉ポートタワー,曇りときどき晴れ,30℃以下,アイスコーヒー,300,20,6000
2025/07/12,屋台村,千葉ポートタワー,曇りときどき晴れ,30℃以下,レモネード,300,0,0
2025/07/12,屋台村,千葉ポートタワー,曇りときどき晴れ,30℃以下,スパークリングレモネード,400,5,2000
2025/08/17,北柏納涼夏祭り,北柏第二公園,晴れ,28℃,アイスコーヒー,300,17,5100
2025/08/17,北柏納涼夏祭り,北柏第二公園,晴れ,28℃,スパークリングレモネード,400,14,5600
2025/08/17,北柏納涼夏祭り,北柏第二公園,晴れ,28℃,ラムネ,200,45,9000
2025/08/17,北柏納涼夏祭り,北柏第二公園,晴れ,28℃,タピオカミルクティー,400,34,13600
2025/08/17,北柏納涼夏祭り,北柏第二公園,晴れ,28℃,枝豆,300,41,12300
2026/06/06,太鼓サミット,北星照ラス,曇り,,ホットコーヒー,400,37,14800
2026/06/06,太鼓サミット,北星照ラス,曇り,,アイスコーヒー,400,28,11200
2026/06/06,太鼓サミット,北星照ラス,曇り,,レモネード,400,8,3200
2026/06/06,太鼓サミット,北星照ラス,曇り,,ホットレモネード,400,7,2800
2026/06/06,太鼓サミット,北星照ラス,曇り,,レモンソーダ,400,4,1600
2026/06/06,太鼓サミット,北星照ラス,曇り,,レモンソーダフロート,500,1,500
2026/06/06,太鼓サミット,北星照ラス,曇り,,メロンソーダ,500,4,2000
2026/06/06,太鼓サミット,北星照ラス,曇り,,コーヒーフロート,500,15,7500
2026/06/06,太鼓サミット,北星照ラス,曇り,,コーラフロート,500,2,1000
2026/06/06,太鼓サミット,北星照ラス,曇り,,ほうじ茶,200,1,200
2026/06/06,太鼓サミット,北星照ラス,曇り,,クッキー,200,33,6600
2026/06/06,太鼓サミット,北星照ラス,曇り,,ワッフル,300,20,6000
